user_id,attr_instrument_str,attr_price_num,logtime,event_action,attr_os_str,devicebrand,attr_category_str,attr_label_str,nc,cnt_call,cnt_dis
1713750,,,2019-09-25T10:27:47.341Z,ecommerce_purchase,ANDROID,samsung,Manage Services,5GB za darmo w aplikacji,pl,14,18
TMCZ_38754257,googlePay,591.25,2020-09-18T15:38:26.388Z,Payment Completed,ANDROID,HONOR,Bills,braintree_googlePay,cz,24,881
e515d635-6ee1-403c-917b-d9d0a449507a,vtPjEEDgcGzrmDiCMmXTSwmhiEZ0wE9mXDPIBWtukeJOP7IlAd_OvLc8UAML1P4j1LfOcRYWr3mZSOAH-__1tQeOUjVPHm6K6XApQykSe0FhjUira9OcYuVKew78XUGJQPn8FLK-KUIFQpzWtzcC1Jpdh3ljsQnOgkFdnQibbXI,100.0,2020-05-01T21:54:24.659Z,Payment Completed,ANDROID,Sony,Top Up,fixedAccount,hr,24,1064
e515d635-6ee1-403c-917b-d9d0a449507a,,100.0,2020-05-01T21:54:24.657Z,ecommerce_purchase,ANDROID,Sony,Top Up,385996675628,hr,24,1064
2807795,,39.0,2020-10-25T15:27:42.970Z,ecommerce_purchase,ANDROID,HONOR,Manage Services,Opcija 3 GB,hr,39,801
e515d635-6ee1-403c-917b-d9d0a449507a,,100.0,2020-08-18T21:11:37.556Z,ecommerce_purchase,ANDROID,Sony,Top Up,385996675628,hr,24,1064
e515d635-6ee1-403c-917b-d9d0a449507a,hAnKIVL-n6dp3JQwLBAX7AUyFdn--gdqtPV5tEA4kc9AQPwAS9s3s6gLqIge-fE5fPxMZH3zLaV1g9vdlVNQoeatiJDZwxQmfDkxZI3BLqRLMldlbB3uL1jkR5DwbkaaE_Hl-8lQ8_vO29uHDHnGHitUh1ddd2yJMqLUqM8D2m0,100.0,2020-08-18T21:11:37.556Z,Payment Completed,ANDROID,Sony,Top Up,mobileAccount,hr,24,1064
932347,,0.0,2020-03-26T23:13:28.715Z,ecommerce_purchase,ANDROID,samsung,Manage Services,5 GB Internetu za darmo,pl,56,3204
2807795,,0.0,2020-10-27T19:19:35.744Z,ecommerce_purchase,ANDROID,HONOR,Manage Services,Neograničeni Internet,hr,39,801
932347,unknown,191.4,2020-09-23T19:09:39.038Z,Payment Completed,ANDROID,samsung,Bills,unknown_unknown,pl,56,3204
932347,,191.4,2020-09-23T19:09:39.037Z,ecommerce_purchase,ANDROID,samsung,Bills,,pl,56,3204
7c2cfde732abee5469ab4e7f4c399dac0bb8088f7645abe7d15f689aa5c8b0e3,,35.0,2020-11-02T20:07:40.814Z,ecommerce_purchase,ANDROID,samsung,Bills,,sk,18,510
1713750,,0.0,2020-10-07T17:46:58.416Z,ecommerce_purchase,ANDROID,samsung,Manage Services,Happy Friday 15 GB,pl,14,18
